==== Commit Analysis Log ====

Commit: 5a75c0fd78fa13d1a0eb8e1add643b581e71a315 | Type: Untouched | Bug-related: true | Message: Don't leak memory in agent_new() error path.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@378 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 41dd2a2a3bc58409451b634ca9646d37fa6385d1 | Type: AddToPC | Bug-related: false | Message: Check return values of option setter.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@377 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 2aa81c054402404e8fe061a612096533ce0c3453 | Type: Untouched | Bug-related: true | Message: Add memory error checks for strdup().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@376 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 0856ba3008efb40fcc7d10ba4b2fcd15e7105456 | Type: AddToPC | Bug-related: true | Message: Add memory error checks.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@375 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 8d66a455f7bc796cf21ab5fb37c70d01920739b2 | Type: AddToPC | Bug-related: false | Message: Add my copyright.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@374 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: a4d98b58fc5d6efe86136bcf4b44fb8250bd2921 | Type: AddToPC | Bug-related: false | Message: Improve the documentation of ssh_options_getopt().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@373 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 497c31d9a0b280376e90d46f28977e5454e5c7e9 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_getopt().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@372 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 4db7fc77ff1fd2768bec59892098007821f5802d | Type: AddToPC | Bug-related: false | Message: Improve and document ssh_options_set_[dsa,rsa]_server_key().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@371 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 3b7940d05e573bcccf3b2d69fcab4d6a11cb4c1b | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_auth_callback().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@370 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 2afc8a4f1cf4debd3b7437bc64554a1ab0e45fa9 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_log_verbosity().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@369 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: da65ee4dbba6539ed92a28b5d6451b8f174ddcb8 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_log_function().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@368 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 0dee53353150b1d535d1eec6d1b61a0e9bf22592 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_allow_ssh2().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@367 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 396db49a41444f72cd9635c1b602e667ff7a729a | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_allow_ssh1().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@366 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 94e91b73f78218c586111c60c3df30bb82741c7a | Type: AddToPC | Bug-related: true | Message: Fix typo.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@365 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 115450ac9bba5edcb2a9d57f01054c7e997fe61c | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_timeout().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@364 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: eb461d1dbe21f70d9d33b0d21a6af7d6ff9c9a11 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_status_callback().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@363 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: cfea89fb7c7fe8482e3a6fadbd6595f2d552ed87 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_default_known_hosts_file().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@362 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 5309651849d87300efd776395ea097df14391597 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_default_ssh_dir().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@361 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 30b02325cbb369e92e7f4ee7763afdf07aa6e78b | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_default_username().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@360 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 1fceffa4348b0e13c7590b0afd3ababfabe0d2ef | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_wanted_algos().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@359 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 3f4c1976fd19bf3cd47502b422c691b6d4b1ed12 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_banner().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@358 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: a459a8b4dbc9b391b6080fcdc0a38ca32a3f6a4c | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_identity().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@357 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 4d203e8420b0be0a3cd327f0ab9dc688fed54026 | Type: AddToPC | Bug-related: true | Message: Fix memory leaks.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@356 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 5ba2acde0aa899db94cdf18bf0a0d32071e58405 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_known_hosts_file().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@355 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 9ea6ea581d655d81d40efc7c678e8e1f036d533d | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_ssh_dir().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@354 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 4373fc64e345a994d2a207ddc7f1a11859ec7176 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_bind().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@353 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: b6fbe97f24f8f8cffdb467f90a2c42d0f36cedfb | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_fd().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@352 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: d86ac9e04bc5511f7c45406c6cf6e48d43de3626 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_port().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@351 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 71913c8fea05f4e90277642265667c312f4831ee | Type: AddToPC | Bug-related: false | Message: Add missing argument checks for options.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@350 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 8de3dc44ca3dc4285d34925be5a7b4fee8e95408 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_username().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@349 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: ab54736b5d41df8588d3754f6b68e2c4c762413f | Type: AddToPC | Bug-related: false | Message: Make ssh_options_free() documentation public.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@348 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 6026de46486913c40a9469267c429b2dfa57d806 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_set_host().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@347 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: a9ef024f1045f696e424c77d7bbde8ce324916ac | Type: AddToPC | Bug-related: false | Message: Make ssh_options_free() public.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@346 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 595a5d9ff2e53e96ecb3ee5797e35345b627c258 | Type: AddToPC | Bug-related: false | Message: Improve ssh_options_copy() and ssh_options_free().   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@345 7dcaeef0-15fb-0310-b436-a5af3365683c
Commit: 356a8a7631ddce16d545c9b898ef74ab165693fd | Type: AddToPC | Bug-related: true | Message: Add error checking for strdup.   git-svn-id: svn+ssh://svn.berlios.de/svnroot/repos/libssh/trunk@344 7dcaeef0-15fb-0310-b436-a5af3365683c
